cell,latitude,longitude,route_name,waypoint_id
7,58.97875881,5.55315073,Cruise_Stavanger_Feistein_In_20210212,4
6,59.01206425,5.53961858,Cruise_Stavanger_Feistein_In_20210212,5
3,59.01206425,5.53961858,Cruise_Stavanger_Feistein_In_20210212,5
4,59.01206425,5.53961858,Cruise_Stavanger_Feistein_In_20210212,5
7,59.01206425,5.53961858,Cruise_Stavanger_Feistein_In_20210212,5
7,59.03717101,5.54017967,Cruise_Stavanger_Feistein_In_20210212,6
3,59.03717101,5.54017967,Cruise_Stavanger_Feistein_In_20210212,6
4,59.03717101,5.54017967,Cruise_Stavanger_Feistein_In_20210212,6
5,59.03717101,5.54017967,Cruise_Stavanger_Feistein_In_20210212,6
6,59.03717101,5.54017967,Cruise_Stavanger_Feistein_In_20210212,6
8,59.03717101,5.54017967,Cruise_Stavanger_Feistein_In_20210212,6
7,59.06251236,5.57026848,Cruise_Stavanger_Feistein_In_20210212,7
3,59.06251236,5.57026848,Cruise_Stavanger_Feistein_In_20210212,7
4,59.06251236,5.57026848,Cruise_Stavanger_Feistein_In_20210212,7
5,59.06251236,5.57026848,Cruise_Stavanger_Feistein_In_20210212,7
6,59.06251236,5.57026848,Cruise_Stavanger_Feistein_In_20210212,7
8,59.06251236,5.57026848,Cruise_Stavanger_Feistein_In_20210212,7
7,59.02928999,5.62065085,Cruise_Stavanger_Feistein_In_20210212,8
3,59.02928999,5.62065085,Cruise_Stavanger_Feistein_In_20210212,8
4,59.02928999,5.62065085,Cruise_Stavanger_Feistein_In_20210212,8
5,59.02928999,5.62065085,Cruise_Stavanger_Feistein_In_20210212,8
6,59.02928999,5.62065085,Cruise_Stavanger_Feistein_In_20210212,8
8,59.02928999,5.62065085,Cruise_Stavanger_Feistein_In_20210212,8
6,59.00260332,5.68410413,Cruise_Stavanger_Feistein_In_20210212,9
3,59.00260332,5.68410413,Cruise_Stavanger_Feistein_In_20210212,9
4,59.00260332,5.68410413,Cruise_Stavanger_Feistein_In_20210212,9
7,59.00260332,5.68410413,Cruise_Stavanger_Feistein_In_20210212,9
6,58.98616667,5.7116,Cruise_Stavanger_Feistein_In_20210212,10
3,58.98616667,5.7116,Cruise_Stavanger_Feistein_In_20210212,10
4,58.98616667,5.7116,Cruise_Stavanger_Feistein_In_20210212,10
7,58.98616667,5.7116,Cruise_Stavanger_Feistein_In_20210212,10
6,58.97757596,5.72596554,Cruise_Stavanger_Feistein_In_20210212,11
3,58.97757596,5.72596554,Cruise_Stavanger_Feistein_In_20210212,11
4,58.97757596,5.72596554,Cruise_Stavanger_Feistein_In_20210212,11
7,58.97757596,5.72596554,Cruise_Stavanger_Feistein_In_20210212,11
2,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_Out_20210212,1
1,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_Out_20210212,1
4,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_Out_20210212,1
5,59.4095211,5.24785873,Cruise_Haugesund_Skudefjorden_Out_20210212,1
2,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_Out_20210212,2
1,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_Out_20210212,2
4,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_Out_20210212,2
5,59.41222713,5.24206075,Cruise_Haugesund_Skudefjorden_Out_20210212,2
2,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_Out_20210212,3
1,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_Out_20210212,3
4,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_Out_20210212,3
5,59.41596493,5.23630737,Cruise_Haugesund_Skudefjorden_Out_20210212,3
2,59.42538805,5.22663018,Cruise_Haugesund_Skudefjorden_Out_20210212,4
